Link,Image,Title,Ratings,Review,Monthly Sales,Price,Product Identified
https://www.amazon.in/Portronics-Konnect-POR-1403-Charging-Function/dp/B09KH58JZR/ref=zg_bs_g_1375248031_d_sccl_8/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/61TAAu1LrqL._SX679_.jpg,Portronics Konnect L POR-1403 Fast Charging 3A Type-C Cable 1.2 Meter with Charge & Sync Function for All Type-C Devices (White),4.1,32870,5K+ bought in past month,110,Portronics Konnect L Por
https://www.amazon.in/Safari-Laptop-Backpack-Raincover-college/dp/B097JJ2CK6/ref=zg_bs_g_1375248031_d_sccl_2/521-8137478-2842638?psc=1,,"Safari Omega spacious/large laptop backpack with Raincover, college bag, travel bag for men and women, Black, 30 Litre",4.1,12964,5K+ bought in past month,669,Safari Omega Spacious Large
https://www.amazon.in/Redmi-Pad-Wi-Fi-Cellular-AI-Enabled/dp/B0FBRTMYDF/ref=zg_bs_g_1375458031_d_sccl_28/521-8137478-2842638?psc=1,,"Redmi Pad 2 Wi-Fi + Cellular, Active Pen Support, 27.94cm(11"") Model, 2.5K Sharp & Clear Display, 8GB, 256GB, All Day & More 9000mAh Battery, AI-Enabled, Dolby Atmos, HyperOS 2, Sky Blue",4.3,983,500+ bought in past month,"18,999",Redmi Pad 2 Wi
https://www.amazon.in/Lenovo-Speakers-Refresh-Android-Kickstand/dp/B0D6G4CVZ7/ref=zg_bs_g_1375458031_d_sccl_18/521-8137478-2842638?psc=1,,"Lenovo Tab Plus with Octa JBL Hi-Fi Speakers| 8 GB RAM, 128 GB ROM| 11.5 Inch, 2K, 90 Hz Refresh| Wi-Fi Tablet| Android 14| 45 W Fast Charger| Built-in Kickstand| Color: Luna Grey",4.5,1624,500+ bought in past month,"18,998",Lenovo Tab Plus Octa
https://www.amazon.in/Lenovo-Smartchoice-AI-Enabled-MediaTek-Dimensity/dp/B0DZCB3G9Q/ref=zg_bs_g_1375458031_d_sccl_13/521-8137478-2842638?psc=1,,"Lenovo {Smartchoice} Idea Tab Pro with Pen Plus|12.7"" 3K Display|144 Hz Refresh|12 GB RAM, 256 GB ROM| AI-Enabled| MediaTek Dimensity 8300|Quad JBL Speakers|10200 mAh Battery with 45 W Charger|WiFi 6e",4.3,1009,500+ bought in past month,"31,999",Lenovo Smartchoice Idea Tab
https://www.amazon.in/Samsung-Galaxy-Display-Storage-Tablet/dp/B0F29P9CKJ/ref=zg_bs_g_1375458031_d_sccl_10/521-8137478-2842638?psc=1,,"Samsung Galaxy Tab S10 FE, S Pen in-Box, 27.7 cm (10.9 inch) Display, AI Writing, Desktop Mode, Pre Loaded Pro Apps, 8 GB RAM, 128 GB Storage, Wi-Fi Tablet, Gray",4.6,146,500+ bought in past month,"37,999",Samsung Galaxy Tab S10
https://www.amazon.in/Lenovo-M11-Connectivity-Octa-Core-Processor/dp/B0D541PG26/ref=zg_bs_g_1375458031_d_sccl_7/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/7169kkVjYWL._SX679_.jpg,"Lenovo Tab M11 | Wi-Fi+ 4G (LTE) Connectivity| 4 GB RAM, 128 GB ROM|11 Inch Screen| 90 Hz, 72% NTSC, FHD Display| Quad Speakers with Dolby Atmos|Octa-Core Processor |13 MP Rear Camera",4.1,359,500+ bought in past month,"12,003",Lenovo Tab M11 Wi
https://www.amazon.in/Apple-iPad-11%E2%80%B3-Display-All-Day/dp/B0DZ7C519W/ref=zg_bs_g_1375458031_d_sccl_3/521-8137478-2842638?psc=1,,"Apple iPad 11″: A16 chip, 27.69 cm (11″) Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Blue",4.6,1106,500+ bought in past month,"33,990",Apple Ipad 11 A16
https://www.amazon.in/Lenovo-Smartchoice-Brightness-Expandable-4-Speakers/dp/B0FJG2TL3C/ref=zg_bs_g_1375458031_d_sccl_2/521-8137478-2842638?psc=1,,"Lenovo Idea Tab Smartchoice with Pen|5G + Wi-Fi|11 Inch,2.5K Display, 500 Nits Brightness|8GB RAM + 256GB ROM(Expandable Up to 2 TB)|Mediatek Dimensity 6300|Android 15|4-Speakers with Dolby Atmos,Grey",4.3,850,500+ bought in past month,"21,999",Lenovo Idea Tab Smartchoice
https://www.amazon.in/HP-803-Economy-Black-Cartridge/dp/B07N4MC9P7/ref=zg_bs_g_14784019031_d_sccl_5/521-8137478-2842638?psc=1,,HP 803 Economy Black Ink Cartridge,3.8,8720,500+ bought in past month,989,Hp 803 Economy Black
https://www.amazon.in/Canon-MG2577s-Inkjet-Colour-Printer/dp/B01EJ5MM5M/ref=zg_bs_g_14784019031_d_sccl_30/521-8137478-2842638?psc=1,,"Canon PIXMA MG2577s All in One (Print, Scan, Copy) Inkjet Colour Printer for Home",3.4,14632,500+ bought in past month,"3,499",Canon Pixma Mg2577S All
https://www.amazon.in/HP-46-Ink-Cartridge-Black/dp/B009L1US88/ref=zg_bs_g_14784019031_d_sccl_29/521-8137478-2842638?psc=1,,HP 46 Black Original Ink Advantage Cartridge,4.3,3265,500+ bought in past month,774,Hp 46 Black Original
https://www.amazon.in/Foxin-CC388A-Toner-Cartridge-Laserjet/dp/B07KNMHVQL/ref=zg_bs_g_14784019031_d_sccl_27/521-8137478-2842638?psc=1,,"FOXIN FTC 88A/CC388A Black Laser Toner Cartridge Compatible for HP Laserjet Printer M1136, MFP, P1007, P1106, P1108, P1008, M1213nf, MFP, M126nw MFP, M1218nfs, M128fw MFP, M128fn , MFP, M226DW, M226DN",4,7044,500+ bought in past month,699,Foxin Ftc 88A Cc388A
https://www.amazon.in/HP-GT53-Black-Original-Bottle/dp/B07STXJDST/ref=zg_bs_g_14784019031_d_sccl_25/521-8137478-2842638?psc=1,,"HP GT53 90ml Black Original High Yield Ink Bottle|Works DeskJet GT 5800 Series, Ink Tank 300/400 Series, Smart Tank 300/400 / 500/600 / 700 Series",4.5,269,500+ bought in past month,499,Hp Gt53 90Ml Black
https://www.amazon.in/Splashjet-Refill-Epson-L3110-Printer/dp/B07KTX2BCM/ref=zg_bs_g_14784019031_d_sccl_18/521-8137478-2842638?psc=1,,"Splashjet 003 Compatible Refill Ink for Epson L3110, L3150, L3250, L3252 L3115, L3116, L3101, L3210, L3215, L3216, L3151, L3152, L3156, L5190 Printer (Multicoloured, 70gm)",4,3992,500+ bought in past month,549,Splashjet 003 Refill Ink
https://www.amazon.in/WOL-3D-Filaments-White/dp/B06Y35GHT8/ref=zg_bs_g_14784019031_d_sccl_16/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/51ZENtY5y4L._SX522_.jpg,"WOL3D 1kg 2025 PLA PRO+ (Daisy White) 3D Printing Filament – Improved Formula for Enhanced Strength, Eco-Friendly, Compatible with Most FDM 3D Printers, Made in India.",3.9,1233,500+ bought in past month,849,Wol3D 1Kg 2025 Pla
https://www.amazon.in/ZEBRONICS-Computer-Speakers-Multicolor-Powered/dp/B0DB29X1YX/ref=zg_bs_g_1375442031_d_sccl_6/521-8137478-2842638?psc=1,,"ZEBRONICS Igloo 1, 2.0 USB Computer Speakers, 8 Watts, Multicolor LED, USB Powered, AUX, Volume Control Pod for PC, Laptops, Desktop, Black",4,1941,500+ bought in past month,494,Computer Speakers
https://www.amazon.in/Zebronics-Zeb-Warrior-Multimedia-Speaker-Connectivity/dp/B07ZZBYWKF/ref=zg_bs_g_1375442031_d_sccl_5/521-8137478-2842638?psc=1,,"Zebronics Zeb-Warrior 2.0 Multimedia Speaker With Aux Connectivity,USB Powered And Volume Control",4,24169,500+ bought in past month,599,Zebronics Zeb Warrior 2
https://www.amazon.in/Ant-Esports-Multimedia-Speakers-Cellphone/dp/B0C4B6DT63/ref=zg_bs_g_1375442031_d_sccl_4/521-8137478-2842638?psc=1,,"Ant Esports GS170 Gaming Speaker for PC, Stereo 2.0 USB Powered Desktop Speaker with 3.5 mm Aux-in, in-line Volume Control, RGB LED Lights Mini Multimedia Speakers for PC, Laptop, Tablet, Cellphone",4.1,2013,500+ bought in past month,349,Ant Esports Gs170 Gaming
https://www.amazon.in/TP-Link-TL-WA855RE-Wi-Fi-Range-Extender/dp/B00EYW1U68/ref=zg_bs_g_1375427031_d_sccl_29/521-8137478-2842638?psc=1,,"TP-Link TL-WA855RE, Single Band 300Mbps RJ45 Wireless Range Extender, Wi-Fi Booster, Broadband/Wi-Fi Extender, Hotspot with 1 Ethernet Port, Plug and Play, Access Point Mode, 2 External Antennas,White",4.1,20263,500+ bought in past month,"1,499",Tp Link Tl Wa855Re
https://www.amazon.in/Essentials-Receiver-High-Speed-Interface-Compatible/dp/B0FNMHMFVP/ref=zg_bs_g_1375427031_d_sccl_28/521-8137478-2842638?psc=1,,"Gizga Essentials USB WiFi Receiver for PC | 150 Mbps Nano Size Wireless Network Dongle for Laptop| USB 2.0 High-Speed Interface, WPA/WPA2 Secure, Compatible with Windows/Mac/Linux Kernel (Black)",4,72,500+ bought in past month,199,Gizga Essentials Usb Wifi
https://www.amazon.in/ARVOX-AX900-Bluetooth-Wireless-Supports/dp/B0FDGS2GYH/ref=zg_bs_g_1375427031_d_sccl_27/521-8137478-2842638?psc=1,,"ARVOX AX900 900 Mbps WiFi 6 + Bluetooth 5.4 Wireless Network USB Adapter for Desktop PC with 2.4Ghz/5Ghz High Gain Dual Band 5 Dbi Antenna Wi-Fi, Supports Windows 11/10 MU-MIMO WPA3 OFDMA",4.2,569,500+ bought in past month,939,Arvox Ax900 900 Mbps
https://www.amazon.in/TP-Link-TL-MR100-Wireless-Parental-Controls/dp/B085PFRFKX/ref=zg_bs_g_1375427031_d_sccl_25/521-8137478-2842638?psc=1,,"TP-Link TL-MR100 300Mbps 2.4GHz Wireless N 4G LTE, Wi-Fi N300, Plug and Play, Parental Controls, Guest Network, with Micro SIM Card Slot, WiFi Router, Black",4,21516,500+ bought in past month,"2,799",Wifi Router
https://www.amazon.in/FRONTECH-Wireless-Advanced-Standards-0843/dp/B0C7187G36/ref=zg_bs_g_1375427031_d_sccl_24/521-8137478-2842638?psc=1,,Frontech 150Mbps USB WiFi Dongle | Wireless Adapter for Desktop and Laptop | Supports 802.11 b/g/n and Advanced WPA/WPA2 Security Encryption (0843),3.8,316,500+ bought in past month,179,Frontech 150Mbps Usb Wifi
https://www.amazon.in/TP-Link-LS1005-100Mbps-Ethernet-Technology/dp/B07XSCDWQ4/ref=zg_bs_g_1375427031_d_sccl_23/521-8137478-2842638?psc=1,,TP-Link LS1005 5-Port 10/100Mbps Desktop Switch|Green Ethernet Technology Network Hub|IEEE 802.3X |Plug and Play|Fanless Design,4.4,3599,500+ bought in past month,549,Tp Link Ls1005 5
https://www.amazon.in/TP-Link-Extender-Next-Gen-Wireless-RE505X/dp/B0859M6P2C/ref=zg_bs_g_1375427031_d_sccl_21/521-8137478-2842638?psc=1,,"TP-Link AX1500 Wi-Fi 6 Range Extender, Up to 1500 Mbps Speed, Next-Gen Dual Band WiFi Booster, Wireless Repeater with Gigabit Port, 2 External Antennas, Easy Set-Up (RE505X)",4.3,1127,500+ bought in past month,"2,999",Tp Link Ax1500 Wi
https://www.amazon.in/TP-Link-UE300C-Ethernet-Ultrabook-Chromebook/dp/B08FYB5HHK/ref=zg_bs_g_1375427031_d_sccl_19/521-8137478-2842638?psc=1,,"TP-Link UE300C USB Type-C to RJ45 Gigabit Ethernet Network Adapter/RJ45 LAN Wired Adapter for Ultrabook, Chromebook, Laptop, Desktop, Plug & Play, USB 3.0, Foldable and Portable Design",4.4,37774,500+ bought in past month,"1,099",Tp Link Ue300C Usb
https://www.amazon.in/TP-Link-Wireless-Network-Supports-T2U/dp/B07P681N66/ref=zg_bs_g_1375427031_d_sccl_16/521-8137478-2842638?psc=1,,"TP-Link 600 Mbps Wifi Wireless Network USB Adapter For Desktop Pc with 2.4Ghz/5Ghz High Gain Dual Band 5Dbi Antenna Wi-Fi,Supports Windows 11/10/8.1/8/7/Xp,Mac Os 10.15 & Earlier(Archer T2U Plus)Black",4.3,39963,500+ bought in past month,"1,249",Tp Link 600 Mbps
https://www.amazon.in/TP-Link-Adapter-TL-WN725N-Wireless-Network/dp/B008IFXQFU/ref=zg_bs_g_1375427031_d_sccl_14/521-8137478-2842638?psc=1,,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",4.2,150193,500+ bought in past month,429,Tp Link Usb Wifi
