data-page-selector,Image,Title,Ratings,Review,Monthly Sales,Price,Product Identified
https://www.amazon.in/LifeKrafts-Industrial-Powerful-Refrigerator-Projects/dp/B07XLRW6P2/ref=zg_bs_g_3591020031_d_sccl_17/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/610ntgO2CUL._SX679_.jpg,"LifeKrafts Ceramic Magnets | 18×5 mm Round Disc | Pack of 10 | Grade 11 Small Strong Magnets | Multipurpose DIY, Craft, Refrigerator, Home, Office & School Use",4.3,"1,000",800+ bought in past month,149,Lifekrafts Ceramic Magnets 18 5 Mm
https://www.amazon.in/Lifekrafts-Magnetic-White-Board-Sheet/dp/B0753GZNSX/ref=zg_bs_g_3591020031_d_sccl_8/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/61IswvSo-9L._SX679_.jpg,"Lifekrafts Magnetic White Board Planner Sheet | Size : (43x28) cms | Includes 4 Marker Pens, 1 Eraser | Daily Routine Responsibility, Self-Care, Reminders, Notes and More for Kids and Adults",4.4,"3,389",800+ bought in past month,449,Lifekrafts Magnetic White Board Planner Sheet
https://www.amazon.in/CPENSUS-Acrylic-Writing-Message-Rewritable/dp/B0BYDVWMCG/ref=zg_bs_g_3591020031_d_sccl_28/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/81Q89KnRgHL._SX679_.jpg,CPENSUS Diy 3D Acrylic Writing Pad With Pen Message Board Rewritable Table Lamp For Study Led Light Office Home Decor Gift,3.9,296,800+ bought in past month,749,Cpensus Diy 3D Acrylic Writing Pad
https://www.amazon.in/Wynhard-Pencils-Coloring-Sketching-Beginners/dp/B0BXCZ5LXS/ref=zg_bs_g_3591019031_d_sccl_20/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/61Lzy2NUYcL._SX679_.jpg,Wynhard Oil Colour Pencils Drawing Colour Pencils Colour Pencil Set Pencil Colours Colored Pencils Color Pencil Set for Coloring Book for Adults Kids Sketching Shading Beginners Pencil Coloring 72 Pcs,4.5,670,800+ bought in past month,0,Wynhard Oil Colour Pencils Drawing Colour
https://www.amazon.in/GDNK-Scrapbook-Journaling-Aesthetic-Moonlight/dp/B0DQVFJZSV/ref=zg_bs_g_3591019031_d_sccl_22/521-8137478-2842638?psc=1,,"GDNK 346pcs Vintage Journal Scrapbook Pack Kit for Art Journaling Bullet, Planners DIY Paper Stickers, Craft Kits Notebook, Collage Album Aesthetic Sticker (Moonlight) (Purple Butterfly)",4.5,408,800+ bought in past month,399,Gdnk 346Pcs Vintage Journal Scrapbook Kit
https://www.amazon.in/CLIMBERTY%C2%AE-Rechargeable-Pointer-Presentations-Stargazing/dp/B0C5CVXS2D/ref=zg_bs_g_3591018031_d_sccl_7/521-8137478-2842638?psc=1,,"CLIMBERTY® Laser Light USB Rechargeable Green Laser Pointer, 2000 Metres Laser Pointer High Power Pen, Cat Laser Toy, Long Range Green Laser Pointer for Presentations, Stargazing, Hiking (Green Light)",4,520,800+ bought in past month,549,Climberty Laser Light Usb Rechargeable Green
https://www.amazon.in/Casio-DJ-120D-Business-Calculator/dp/B007Q83LVE/ref=zg_bs_g_3591018031_d_sccl_6/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/410j6Aey70L._SY300_SX300_QL70_FMwebp_.jpg,Casio DJ-120D 150 Steps Check and Correct Desktop Calculator with Bigger Screen/Keys (12 Digit),4.2,"3,749",800+ bought in past month,755,Casio Dj 120D 150 Steps Check
https://www.amazon.in/AccuPrints-Meal-Planner-Magnetic-Landscape/dp/B0DFHF6JW7/ref=zg_bs_g_3591015031_d_sccl_2/521-8137478-2842638?psc=1,https://m.media-amazon.com/images/I/41rb+rEj6cL.jpg,"AccuPrints Weekly Meal Planner Vinyl, Magnetic White Board Planner Sheet (30x30cm, Landscape) with Marker Pen - Dry Erase Flexible Writing Film for Kitchen Fridge/Office Godrej/Metal Wardrobe",4.2,449,800+ bought in past month,229,Accuprints Weekly Meal Planner Vinyl Magnetic
https://www.amazon.in/AccuPrints%C2%AE-Calendar-2026-Size-Standing-Desktop/dp/B0818484TJ/ref=zg_bs_g_3591015031_d_sccl_29/521-8137478-2842638?psc=1,,AccuPrints® Desk Calendar 2026 Planner-A5 Size (5.8 x 8.2) inch For Office Home Table New Year Hanging Kids (14 x 20.5) cm- (Colour Desk),4.2,"1,485",800+ bought in past month,229,Accuprints Desk Calendar 2026 Planner A5
https://www.amazon.in/LAURET-BLANC-Standing-Calendar-Organiser/dp/B08R94D5HC/ref=zg_bs_g_3591015031_d_sccl_16/521-8137478-2842638?psc=1,,"LAURET BLANC Standing Table, Desk Calendar 2026 Planner and Organiser- B5 Size (7.5"" x 9.25"") Home and Office Calendar",4.4,891,800+ bought in past month,284,Lauret Blanc Standing Table Desk Calendar
