Link,Title,Product Identified,Monthly Sales,Review,Price,Review,Image
https://www.amazon.in/Crimsoune-Club-Mustard-Sleeveless-Sweater/dp/B0DDGYWT5S/ref=zg_bs_g_3403677031_d_sccl_14/521-8137478-2842638?psc=1,Crimsoune Club Men's Mustard V-Neck Sleeveless Sweater,Crimsoune Club Men'S Mustard,700+ bought in past month,,899,0,https://m.media-amazon.com/images/I/613+Mgb8J6L._SY879_.jpg
https://www.amazon.in/Cliff-Keen-Wrestling-Tornado-Headgear/dp/B07BN5XDJV/ref=zg_bs_g_3403677031_d_sccl_13/521-8137478-2842638?psc=1,Cliff Keen Wrestling F5 Tornado Headgear Two Strap Holder 2 HG2SF5,Cliff Keen Wrestling F5,700+ bought in past month,-10,"3,548",10,https://m.media-amazon.com/images/I/71Lst7vl4hL._SX679_.jpg
https://www.amazon.in/Printed-Sleeveless-Workout-Activewear-Bodybulding/dp/B0FBKL2K9T/ref=zg_bs_g_3403677031_d_sccl_12/521-8137478-2842638?psc=1,Men's Cotton Printed Sleeveless Racer Back Sports Gym Boxing Workout Activewear Bodybulding Quick Dry Fit Gym Vest Tank Top VG12,Men'S Cotton Printed Sleeveless,700+ bought in past month,-1,299,1,https://m.media-amazon.com/images/I/41BHhPPAW6L.jpg
https://www.amazon.in/JPORA-Regular-Summer-Size-58cm-Black/dp/B0C43TLSHD/ref=zg_bs_g_3403677031_d_sccl_11/521-8137478-2842638?psc=1,Regular Summer Cap Adjustable Strap (Navy Blue),Regular Summer Cap Adjustable,6K+ bought in past month,,"1,058",0,
https://www.amazon.in/Xpeed-Wrestling-Suit-Compression-Spandex/dp/B09Q5TS1QC/ref=zg_bs_g_3403677031_d_sccl_10/521-8137478-2842638?psc=1,Xpeed Wrestling Suit for Men Wrestling Suit Wrestling Compression Suit for Men Wrestling Suit Spandex Wrestling Suit Red(38),Xpeed Wrestling Suit Wrestling,6K+ bought in past month,,"1,349",0,https://m.media-amazon.com/images/I/31mux834TlL.jpg
https://www.amazon.in/Erobold-EB-WB-B-S-MBS-WW1BK1CS01-Wrestler-Bodysuit/dp/B0D39TD7JW/ref=zg_bs_g_3403677031_d_sccl_9/521-8137478-2842638?psc=1,Wrestler Bodysuit,Wrestler Bodysuit,6K+ bought in past month,,,0,https://m.media-amazon.com/images/I/41P0eR7Uh3L.jpg
https://www.amazon.in/Support-Sponge-Anti-slip-Collision-Avoidance/dp/B0CV5FFHJX/ref=zg_bs_g_3403677031_d_sccl_8/521-8137478-2842638?psc=1,"New Trend Knee Pads, Knee Support Thick Sponge Anti-slip, Collision Avoidance Knee Sleeve Knee Support (Black)",Knee Support,6K+ bought in past month,,249,0,https://m.media-amazon.com/images/I/31t4uWkY7cL.jpg
https://www.amazon.in/Headguard-Protector-Wrestling-Protective-Sporting/dp/B0F8BG1BNY/ref=zg_bs_g_3403677031_d_sccl_7/521-8137478-2842638?psc=1,"BNF Rugby Headguard Protector Guard Wrestling Helmet Head Gear Protective Black | Sporting Goods | Boxing, Martial Arts & MMA | Protective Gear | Head Gear | 1 Piece Sports Helmet Protector",Bnf Rugby Headguard Protector,600+ bought in past month,,"1,482",0,https://m.media-amazon.com/images/I/51clhT9fcdL._SX679_.jpg
https://www.amazon.in/ADDICTION-Neoprene-Wrestling-Exercise-Compression/dp/B0DSJLXRV2/ref=zg_bs_g_3403677031_d_sccl_6/521-8137478-2842638?psc=1,"ADDICTION Neoprene Wrestling Singlet (costume) Full Body Exercise Compression Wear, Blue and Black (Red, 38)",Wrestling Singlet,600+ bought in past month,,799,0,https://m.media-amazon.com/images/I/61UOsDbJ-zL._SY879_.jpg
https://www.amazon.in/USI-UNIVERSAL-Wrestling-Singlet-COMFERTO/dp/B09HTW6F1R/ref=zg_bs_g_3403677031_d_sccl_5/521-8137478-2842638?psc=1,"USI UNIVERSAL Wrestling Singlet COMFERTO (419WM) (XXL, Blue)",Wrestling Singlet,600+ bought in past month,-1,889,1,
https://www.amazon.in/Wrestling-Suit-Women-USI-RED/dp/B073QLKVMS/ref=zg_bs_g_3403677031_d_sccl_4/521-8137478-2842638?psc=1,"Wrestling Suit Women USI (RED, S) - 419WSW",Wrestling Suit Usi,600+ bought in past month,,"1,399",0,
https://www.amazon.in/ROARFIT-COMMIT-FIT-POWERLIFTING-COMPETITIONS/dp/B0CYWVD6MQ/ref=zg_bs_g_3403677031_d_sccl_3/521-8137478-2842638?psc=1,BHARAT SUBLIMATED SINGLET FOR POWERLIFTING AND WRESTLING COMPETITIONS AVAILABLE FOR MEN & WOMEN (XL),Bharat Sublimated Singlet Powerlifting,600+ bought in past month,,,0,
https://www.amazon.in/ADDICTION-Neoprene-Wrestling-Exercise-Compression/dp/B0DSJKLH51/ref=zg_bs_g_3403677031_d_sccl_2/521-8137478-2842638?psc=1,"ADDICTION Neoprene Wrestling Singlet (costume) Full Body Exercise Compression Wear, Blue and Black (Red, 30)",Wrestling Singlet,600+ bought in past month,,799,0,https://m.media-amazon.com/images/I/61UOsDbJ-zL._SY879_.jpg
